"Metric","Value"
"Accuracy",0.746384872080089
"Sensitivity",0.334710743801653
"Specificity",0.898021308980213
"PPV",0.547297297297297
"NPV",0.785619174434088
"F1",0.415384615384615
"AUC",0.73191126709184
