"Model","AIC","BIC","Deviance","df","Delta_AIC","Best_AIC"
"Model 1: Individual Only",3038.56851695994,3080.6130899335,3024.56851695994,2993,68.6199479063039,""
"Model 2: Individual + Relationship",2996.72831928407,3056.79199496057,2976.72831928407,2990,26.7797502304306,""
"Model 3: Full Ecological",2969.94856905364,3048.03134743309,2943.94856905364,2987,0,""
